Crop,Soil_Type,Crop_Growth_Stage,Irrigation_Method,Water_Availability,Soil_Moisture_pct,Temperature_C,Relative_Humidity_pct,Rainfall_24h_mm,Rainfall_7d_mm,ETo_mm_day,Land_Area_ha,Irrigation_Need,Irrigation_Amount_mm_day,Crop_ID,Data_Type
Wheat,Clay Loam,Maturity,Flood,Low,30.72,20.92,48.66,13.37,9.24,4.88,1.09,Medium,6.12,WHEAT,Synthetic
Banana,Sandy,Flowering,Sprinkler,Medium,24.24,25.0,67.53,3.14,19.13,5.65,0.61,Medium,8.53,BANANA,Synthetic
Groundnut,Sandy Loam,Vegetative,Drip,Medium,22.19,41.42,36.83,4.14,75.15,6.57,4.38,High,10.45,GROUNDNUT,Synthetic
Soybean,Clay Loam,Maturity,Flood,Medium,70.77,36.83,65.81,8.1,31.42,3.5,0.86,Low,5.02,SOYBEAN,Synthetic
Sugarcane,Clay,Maturity,Flood,Medium,58.23,20.87,63.33,4.27,14.41,5.07,3.68,Medium,5.61,SUGARCANE,Synthetic
Maize,Clay Loam,Vegetative,Flood,Medium,57.67,40.81,39.69,15.57,23.71,4.13,0.25,Medium,6.14,MAIZE,Synthetic
Tomato,Clay Loam,Flowering,Sprinkler,High,60.5,40.01,37.53,18.04,102.99,3.38,2.96,Low,4.91,TOMATO,Synthetic
Sugarcane,Sandy Loam,Flowering,Rainfed,Low,60.96,31.51,84.65,28.45,22.73,6.17,0.77,High,12.0,SUGARCANE,Synthetic
Soybean,Loamy,Flowering,Sprinkler,Low,22.85,40.53,61.41,18.99,180.74,5.31,0.35,High,9.95,SOYBEAN,Synthetic
Groundnut,Loamy,Flowering,Rainfed,Medium,30.54,26.01,58.05,3.44,31.59,7.99,2.9,High,9.77,GROUNDNUT,Synthetic
Groundnut,Clay,Grain Filling,Rainfed,High,32.69,39.98,62.01,2.89,14.95,7.4,0.59,High,9.92,GROUNDNUT,Synthetic
Maize,Loamy,Flowering,Flood,Low,54.73,31.78,37.29,16.5,84.84,5.15,6.97,High,8.44,MAIZE,Synthetic
Wheat,Sandy Loam,Flowering,Flood,Medium,27.26,24.19,45.86,43.07,136.07,7.19,5.42,High,10.65,WHEAT,Synthetic
Soybean,Sandy Loam,Seedling,Drip,High,16.44,41.68,44.14,9.67,104.5,3.13,7.96,Low,4.16,SOYBEAN,Synthetic
Banana,Clay Loam,Grain Filling,Drip,Medium,20.61,19.17,82.23,16.47,97.21,5.88,3.0,High,9.54,BANANA,Synthetic
Rice,Sandy,Seedling,Drip,Low,44.64,38.59,41.35,16.7,24.86,6.18,0.27,Medium,7.76,RICE,Synthetic
Banana,Clay Loam,Grain Filling,Drip,High,45.76,19.07,58.44,10.39,134.28,2.26,0.94,Low,3.5,BANANA,Synthetic
Cotton,Loamy,Grain Filling,Drip,High,53.82,31.55,51.34,1.38,14.08,7.75,2.68,High,9.16,COTTON,Synthetic
Tomato,Clay Loam,Vegetative,Sprinkler,Low,25.49,18.4,68.91,4.49,136.04,2.37,0.41,Low,2.66,TOMATO,Synthetic
Wheat,Loamy,Maturity,Sprinkler,High,45.96,18.84,33.08,1.39,102.24,6.53,3.95,High,7.76,WHEAT,Synthetic
Potato,Sandy,Seedling,Rainfed,Medium,36.14,26.6,59.98,26.86,35.12,6.05,0.38,Low,4.2,POTATO,Synthetic
Sugarcane,Loamy,Grain Filling,Rainfed,Medium,68.62,40.48,75.64,2.72,18.34,4.82,1.36,High,7.69,SUGARCANE,Synthetic
Rice,Loamy,Vegetative,Drip,High,39.15,35.36,84.63,8.87,81.84,2.66,12.16,Low,3.19,RICE,Synthetic
Groundnut,Sandy,Maturity,Flood,High,19.62,24.76,72.67,2.54,15.23,6.75,1.72,Medium,7.41,GROUNDNUT,Synthetic
Banana,Sandy Loam,Vegetative,Flood,Medium,57.43,37.49,42.05,15.83,45.08,4.35,1.44,Low,5.98,BANANA,Synthetic
Potato,Loamy,Grain Filling,Drip,Medium,65.77,41.67,81.42,14.67,124.94,3.45,2.57,Low,4.37,POTATO,Synthetic
Maize,Clay Loam,Flowering,Flood,Medium,66.46,33.77,48.66,6.71,47.74,2.26,0.2,Low,5.2,MAIZE,Synthetic
Sugarcane,Loamy,Flowering,Sprinkler,High,25.89,20.37,54.41,20.07,2.82,7.77,1.34,High,10.39,SUGARCANE,Synthetic
Groundnut,Loamy,Grain Filling,Flood,Medium,28.36,34.03,87.37,12.32,7.97,7.1,3.64,High,10.67,GROUNDNUT,Synthetic
Groundnut,Clay Loam,Grain Filling,Flood,Low,24.86,18.4,89.84,3.26,27.56,2.4,0.78,Low,3.51,GROUNDNUT,Synthetic
Rice,Clay Loam,Vegetative,Flood,Medium,67.51,41.06,46.79,11.45,2.9,5.8,6.59,Medium,6.6,RICE,Synthetic
Soybean,Clay Loam,Grain Filling,Flood,Medium,25.83,18.86,43.6,28.25,45.22,2.2,1.43,Low,3.2,SOYBEAN,Synthetic
Wheat,Clay Loam,Flowering,Drip,Medium,60.98,28.8,41.07,17.76,84.89,7.16,2.55,High,10.09,WHEAT,Synthetic
Potato,Clay Loam,Grain Filling,Flood,Low,50.06,32.15,62.17,12.46,68.7,5.52,2.28,High,10.54,POTATO,Synthetic
Potato,Sandy,Seedling,Drip,Low,15.54,37.35,53.39,9.19,32.3,6.66,16.85,High,9.26,POTATO,Synthetic
Potato,Clay,Vegetative,Flood,Medium,34.76,32.8,44.32,2.03,26.99,7.89,2.52,High,12.0,POTATO,Synthetic
Sugarcane,Loamy,Flowering,Flood,Medium,38.62,22.64,87.22,22.79,144.8,5.43,0.66,High,8.85,SUGARCANE,Synthetic
Sugarcane,Loamy,Flowering,Sprinkler,Medium,47.7,33.41,48.49,1.75,76.96,5.04,15.4,Medium,7.3,SUGARCANE,Synthetic
Cotton,Loamy,Maturity,Flood,Medium,65.65,18.79,44.46,6.86,18.41,6.18,4.2,Medium,6.06,COTTON,Synthetic
Banana,Clay Loam,Seedling,Sprinkler,High,48.5,23.43,85.35,6.3,14.92,4.66,5.27,Low,5.38,BANANA,Synthetic
Sugarcane,Clay Loam,Flowering,Sprinkler,Medium,60.79,20.97,65.96,15.87,43.96,7.45,8.99,High,10.95,SUGARCANE,Synthetic
Rice,Sandy,Vegetative,Sprinkler,High,34.11,20.49,87.82,8.3,30.21,3.76,15.87,Medium,6.94,RICE,Synthetic
Groundnut,Loamy,Flowering,Flood,Medium,69.4,39.71,88.06,1.33,19.83,6.95,0.5,High,9.24,GROUNDNUT,Synthetic
Maize,Clay,Maturity,Drip,High,26.27,21.07,50.03,39.83,112.97,6.91,8.78,Medium,6.31,MAIZE,Synthetic
Groundnut,Sandy Loam,Vegetative,Drip,High,52.35,40.57,72.16,7.08,33.31,7.93,8.44,Medium,7.56,GROUNDNUT,Synthetic
Wheat,Loamy,Maturity,Sprinkler,Low,16.56,30.22,77.63,3.43,9.94,4.92,0.25,Medium,7.86,WHEAT,Synthetic
Potato,Loamy,Seedling,Sprinkler,Medium,36.38,34.95,85.18,20.49,38.68,2.81,2.1,Low,2.91,POTATO,Synthetic
Groundnut,Loamy,Grain Filling,Flood,Low,46.61,31.05,44.11,10.85,65.28,7.58,4.12,High,12.0,GROUNDNUT,Synthetic
Cotton,Loamy,Vegetative,Drip,Medium,43.74,41.21,62.64,4.24,69.13,3.55,12.79,Medium,6.62,COTTON,Synthetic
Maize,Clay Loam,Vegetative,Flood,Medium,26.56,26.65,64.72,5.57,70.37,6.24,0.58,High,10.78,MAIZE,Synthetic
Soybean,Loamy,Maturity,Sprinkler,High,31.12,19.91,76.53,6.75,95.43,4.03,0.25,Low,3.96,SOYBEAN,Synthetic
Potato,Sandy,Vegetative,Drip,High,22.26,36.15,58.46,3.84,91.23,6.16,15.19,High,7.93,POTATO,Synthetic
Groundnut,Loamy,Grain Filling,Drip,Medium,66.13,20.27,33.15,22.76,45.37,3.05,0.47,Low,2.87,GROUNDNUT,Synthetic
Wheat,Sandy Loam,Flowering,Rainfed,Medium,64.09,21.17,84.8,10.4,135.7,7.29,0.27,High,10.18,WHEAT,Synthetic
Tomato,Sandy Loam,Maturity,Flood,Medium,56.42,19.31,39.82,13.07,44.17,3.24,0.22,Low,5.26,TOMATO,Synthetic
Potato,Clay Loam,Grain Filling,Sprinkler,Low,61.77,26.69,48.39,2.05,52.82,5.03,16.44,Medium,7.1,POTATO,Synthetic
Wheat,Sandy,Maturity,Drip,Low,13.68,35.04,50.99,8.36,5.21,6.46,2.15,High,8.5,WHEAT,Synthetic
Cotton,Clay Loam,Grain Filling,Drip,Medium,46.49,34.02,50.42,25.89,54.81,3.36,5.88,Low,4.45,COTTON,Synthetic
Groundnut,Sandy Loam,Seedling,Flood,Medium,30.04,41.0,84.11,1.55,90.22,4.4,13.04,Low,5.77,GROUNDNUT,Synthetic
Banana,Sandy Loam,Grain Filling,Sprinkler,Medium,68.38,32.52,73.43,9.95,49.61,2.88,0.36,Medium,5.72,BANANA,Synthetic
Sugarcane,Clay Loam,Grain Filling,Drip,Medium,26.26,31.79,66.45,23.48,20.78,6.36,0.52,High,12.0,SUGARCANE,Synthetic
Banana,Loamy,Maturity,Flood,Low,66.82,21.08,41.71,3.48,26.73,7.67,0.29,High,9.14,BANANA,Synthetic
Cotton,Clay,Vegetative,Flood,Medium,67.9,25.89,43.0,2.43,98.05,6.95,0.39,Medium,7.54,COTTON,Synthetic
Maize,Clay Loam,Vegetative,Drip,Medium,38.53,39.25,83.23,16.4,125.44,5.99,14.06,Medium,8.09,MAIZE,Synthetic
Potato,Loamy,Vegetative,Flood,Medium,15.69,32.67,61.22,6.48,176.81,4.96,7.29,Medium,5.2,POTATO,Synthetic
Tomato,Clay Loam,Grain Filling,Flood,High,42.96,23.85,83.78,11.92,88.45,6.53,1.0,Medium,6.93,TOMATO,Synthetic
Wheat,Sandy Loam,Flowering,Sprinkler,Medium,36.58,28.19,36.66,27.66,73.46,4.36,1.13,Medium,6.34,WHEAT,Synthetic
Maize,Loamy,Flowering,Flood,Low,15.99,33.51,70.79,24.45,71.71,3.76,13.39,Medium,8.13,MAIZE,Synthetic
Rice,Sandy,Flowering,Sprinkler,Medium,16.21,18.71,80.65,11.09,35.97,4.86,4.31,Medium,7.9,RICE,Synthetic
Tomato,Sandy Loam,Vegetative,Sprinkler,Medium,65.7,25.06,33.38,3.88,12.09,2.0,1.65,Low,1.93,TOMATO,Synthetic
Groundnut,Loamy,Flowering,Drip,Medium,16.16,39.91,34.59,3.24,106.52,2.12,8.76,Low,4.28,GROUNDNUT,Synthetic
Potato,Clay Loam,Vegetative,Sprinkler,Medium,44.68,40.14,39.07,7.66,11.04,6.49,3.84,High,9.1,POTATO,Synthetic
Cotton,Sandy Loam,Maturity,Sprinkler,High,67.61,39.17,35.12,1.87,21.18,2.39,0.95,Low,3.44,COTTON,Synthetic
Soybean,Clay,Vegetative,Rainfed,Medium,30.34,24.21,34.55,4.41,133.31,4.93,1.61,Medium,7.59,SOYBEAN,Synthetic
Groundnut,Clay,Grain Filling,Drip,Medium,51.99,29.07,52.35,26.41,9.81,6.66,1.25,High,8.79,GROUNDNUT,Synthetic
Soybean,Sandy,Vegetative,Rainfed,Medium,12.44,41.39,64.51,14.05,20.5,4.21,18.98,Low,5.79,SOYBEAN,Synthetic
Soybean,Loamy,Flowering,Drip,Low,61.08,27.77,62.77,0.61,43.59,5.33,10.06,High,8.28,SOYBEAN,Synthetic
Rice,Sandy,Grain Filling,Sprinkler,Medium,70.44,25.49,56.48,38.99,15.36,3.48,0.91,Low,3.99,RICE,Synthetic
Wheat,Clay,Seedling,Rainfed,Low,41.03,36.67,58.68,14.68,106.25,3.14,0.87,Low,4.54,WHEAT,Synthetic
Maize,Loamy,Maturity,Sprinkler,Medium,19.68,32.45,78.25,10.38,30.01,3.86,0.44,Low,4.53,MAIZE,Synthetic
Wheat,Loamy,Flowering,Drip,Low,28.35,23.61,71.44,4.91,72.36,4.34,1.44,Medium,7.44,WHEAT,Synthetic
Groundnut,Sandy Loam,Grain Filling,Drip,Low,15.07,30.87,81.35,0.56,66.59,4.47,3.87,High,8.48,GROUNDNUT,Synthetic
Potato,Loamy,Maturity,Sprinkler,Medium,13.99,26.86,87.72,28.35,38.36,4.01,0.37,Low,4.63,POTATO,Synthetic
Tomato,Sandy,Maturity,Rainfed,Medium,40.25,23.62,51.52,10.37,102.69,3.66,0.68,Low,3.65,TOMATO,Synthetic
Groundnut,Clay Loam,Vegetative,Drip,Low,43.97,39.5,37.5,12.46,25.77,5.31,0.36,High,8.2,GROUNDNUT,Synthetic
Banana,Loamy,Flowering,Drip,Low,27.93,30.52,34.76,6.64,52.97,6.97,1.06,High,12.0,BANANA,Synthetic
Soybean,Loamy,Flowering,Rainfed,High,55.25,35.22,58.34,19.57,3.04,2.36,0.65,Low,2.81,SOYBEAN,Synthetic
Rice,Clay Loam,Flowering,Sprinkler,Medium,39.79,29.06,33.71,25.34,16.62,4.87,0.27,Medium,8.57,RICE,Synthetic
Soybean,Sandy Loam,Vegetative,Sprinkler,Medium,30.61,38.06,38.83,5.88,39.31,3.83,0.86,Medium,6.3,SOYBEAN,Synthetic
Tomato,Loamy,Flowering,Flood,Low,14.72,37.81,42.16,7.74,45.94,5.3,0.55,High,12.0,TOMATO,Synthetic
Soybean,Clay Loam,Flowering,Rainfed,Medium,68.03,22.49,44.04,3.1,59.1,6.8,0.4,Medium,7.99,SOYBEAN,Synthetic
Soybean,Sandy,Vegetative,Rainfed,Medium,31.51,20.49,51.38,2.74,53.89,2.83,19.0,Low,3.66,SOYBEAN,Synthetic
Wheat,Clay Loam,Flowering,Drip,Medium,46.31,31.13,36.55,6.57,70.05,3.77,1.26,Low,4.91,WHEAT,Synthetic
Soybean,Loamy,Vegetative,Flood,Medium,53.92,30.37,60.56,14.7,60.86,6.4,2.19,Medium,6.86,SOYBEAN,Synthetic
Cotton,Loamy,Vegetative,Drip,Medium,48.3,32.35,69.25,9.24,54.89,6.42,0.39,High,8.58,COTTON,Synthetic
Tomato,Sandy,Grain Filling,Drip,High,29.79,39.2,58.35,6.25,134.47,6.31,0.91,High,8.82,TOMATO,Synthetic
Rice,Sandy Loam,Vegetative,Flood,Low,56.52,37.48,46.17,16.04,93.65,5.01,9.49,Medium,7.74,RICE,Synthetic
Sugarcane,Clay Loam,Grain Filling,Drip,Low,21.72,36.31,84.39,3.88,58.02,6.93,0.94,High,12.0,SUGARCANE,Synthetic
Groundnut,Loamy,Flowering,Rainfed,Low,38.73,38.46,44.06,4.94,51.48,4.56,3.06,Medium,8.05,GROUNDNUT,Synthetic
Maize,Clay,Grain Filling,Sprinkler,Low,24.26,28.09,70.36,14.9,162.1,7.06,11.54,High,12.0,MAIZE,Synthetic
Cotton,Sandy,Maturity,Flood,High,14.44,22.79,86.75,3.69,36.69,2.25,6.1,Low,2.95,COTTON,Synthetic
Sugarcane,Loamy,Vegetative,Flood,High,37.76,38.24,72.35,11.95,113.86,3.93,3.73,Low,5.12,SUGARCANE,Synthetic
Banana,Sandy,Flowering,Flood,High,48.47,39.31,67.31,8.84,104.7,5.7,0.94,Medium,7.79,BANANA,Synthetic
Rice,Clay,Grain Filling,Drip,Medium,60.92,41.46,46.22,9.72,10.67,7.18,18.36,High,12.0,RICE,Synthetic
Maize,Clay,Maturity,Sprinkler,Medium,27.39,31.97,63.31,5.35,9.0,5.01,0.41,High,6.8,MAIZE,Synthetic
Rice,Clay,Vegetative,Flood,Low,12.01,19.59,64.45,2.97,40.99,2.94,11.05,Medium,6.28,RICE,Synthetic
Banana,Sandy,Flowering,Sprinkler,Low,53.75,24.88,35.01,10.38,23.42,4.82,19.0,High,8.92,BANANA,Synthetic
Cotton,Clay,Flowering,Rainfed,Low,60.76,37.75,53.45,6.41,74.37,2.69,2.78,Low,4.19,COTTON,Synthetic
Cotton,Sandy Loam,Grain Filling,Drip,Medium,53.33,33.23,64.65,5.65,63.49,4.53,1.25,Low,6.07,COTTON,Synthetic
Groundnut,Loamy,Grain Filling,Rainfed,High,55.24,40.23,67.45,5.81,140.12,7.51,0.28,High,9.7,GROUNDNUT,Synthetic
Tomato,Clay Loam,Grain Filling,Sprinkler,Low,37.17,18.84,51.64,5.99,40.42,2.03,0.23,Low,3.8,TOMATO,Synthetic
Wheat,Sandy Loam,Seedling,Rainfed,Medium,53.28,38.8,62.78,6.71,100.82,4.26,0.25,Low,4.08,WHEAT,Synthetic
Soybean,Sandy Loam,Grain Filling,Flood,High,61.05,41.23,53.46,20.2,54.68,6.58,5.35,High,9.43,SOYBEAN,Synthetic
Soybean,Loamy,Vegetative,Drip,High,45.71,36.38,83.52,12.04,13.25,4.3,5.0,Low,4.41,SOYBEAN,Synthetic
Tomato,Sandy Loam,Flowering,Drip,Low,34.57,36.19,49.61,4.34,41.6,3.33,0.46,Medium,6.75,TOMATO,Synthetic
Sugarcane,Clay Loam,Flowering,Flood,Medium,12.3,25.74,74.34,12.1,15.19,7.52,7.61,High,12.0,SUGARCANE,Synthetic
Sugarcane,Sandy Loam,Maturity,Sprinkler,Low,25.3,31.38,71.55,1.56,39.85,2.8,7.93,Medium,5.97,SUGARCANE,Synthetic
Groundnut,Loamy,Vegetative,Drip,High,66.51,35.84,55.55,5.92,46.19,5.88,10.53,Medium,6.84,GROUNDNUT,Synthetic
Cotton,Sandy Loam,Vegetative,Flood,High,42.72,25.62,43.13,4.86,24.54,6.21,2.64,Medium,7.81,COTTON,Synthetic
Maize,Loamy,Seedling,Drip,Medium,32.79,21.63,50.03,8.06,79.83,5.63,0.48,Medium,7.4,MAIZE,Synthetic
Sugarcane,Sandy,Vegetative,Drip,Medium,45.25,32.29,35.9,9.06,35.11,6.99,2.58,High,10.7,SUGARCANE,Synthetic
Rice,Loamy,Grain Filling,Flood,Low,52.48,35.96,78.93,5.7,44.6,2.27,0.73,Low,3.67,RICE,Synthetic
Wheat,Loamy,Flowering,Drip,High,35.96,21.43,59.38,8.45,105.13,5.38,1.39,Medium,6.2,WHEAT,Synthetic
Wheat,Loamy,Flowering,Drip,High,33.81,32.1,46.92,25.21,34.35,4.76,0.29,Medium,6.17,WHEAT,Synthetic
Potato,Clay Loam,Vegetative,Sprinkler,Low,32.71,23.14,63.91,1.02,77.35,6.19,0.32,High,8.54,POTATO,Synthetic
Potato,Sandy,Vegetative,Rainfed,Medium,17.5,39.95,73.74,12.94,167.83,4.53,3.55,Medium,6.05,POTATO,Synthetic
Groundnut,Clay,Flowering,Sprinkler,High,16.68,23.42,81.05,1.61,46.26,4.51,0.28,Medium,7.01,GROUNDNUT,Synthetic
Potato,Sandy Loam,Grain Filling,Rainfed,High,50.25,36.99,36.56,11.78,44.98,4.14,2.5,Medium,6.48,POTATO,Synthetic
Wheat,Sandy,Grain Filling,Sprinkler,Medium,59.71,29.3,87.57,2.94,36.2,5.03,0.56,Medium,6.76,WHEAT,Synthetic
Banana,Loamy,Vegetative,Flood,Low,28.95,39.19,43.29,10.6,30.56,2.96,0.31,Medium,7.21,BANANA,Synthetic
Soybean,Sandy Loam,Flowering,Rainfed,High,68.38,36.21,78.09,18.98,28.27,4.84,1.51,Low,4.56,SOYBEAN,Synthetic
Wheat,Clay Loam,Grain Filling,Drip,Low,12.33,18.41,36.84,12.61,121.41,4.47,1.5,High,9.88,WHEAT,Synthetic
Groundnut,Clay Loam,Vegetative,Sprinkler,High,54.5,39.77,64.68,27.11,103.22,7.66,0.21,High,9.4,GROUNDNUT,Synthetic
Potato,Loamy,Vegetative,Flood,High,63.95,25.06,73.02,3.39,60.75,4.64,1.03,Low,4.51,POTATO,Synthetic
Groundnut,Clay,Maturity,Flood,Low,51.69,33.58,35.02,4.96,51.36,5.42,7.81,Medium,7.21,GROUNDNUT,Synthetic
Groundnut,Loamy,Vegetative,Rainfed,Low,50.94,23.75,78.8,21.15,17.3,6.93,0.73,Medium,7.54,GROUNDNUT,Synthetic
Wheat,Sandy,Maturity,Drip,Low,44.63,22.19,87.74,9.37,116.72,4.82,2.5,Medium,6.22,WHEAT,Synthetic
Sugarcane,Clay Loam,Flowering,Drip,Medium,41.22,33.53,38.21,15.26,33.89,2.94,0.33,Low,5.28,SUGARCANE,Synthetic
Maize,Sandy Loam,Flowering,Drip,Low,15.27,31.6,78.57,14.63,58.37,3.21,2.26,Medium,7.78,MAIZE,Synthetic
Cotton,Sandy Loam,Vegetative,Drip,High,41.19,26.51,47.85,1.46,14.06,7.33,10.39,High,10.26,COTTON,Synthetic
Potato,Sandy,Maturity,Sprinkler,Low,63.41,18.43,36.28,26.88,3.72,5.79,1.04,Medium,6.61,POTATO,Synthetic
Tomato,Sandy Loam,Vegetative,Sprinkler,High,21.64,29.72,40.01,1.71,94.42,3.56,0.89,Medium,6.58,TOMATO,Synthetic
Tomato,Sandy Loam,Flowering,Drip,High,16.43,41.34,70.88,14.98,51.52,3.72,0.21,Medium,6.0,TOMATO,Synthetic
Sugarcane,Sandy Loam,Seedling,Drip,High,29.3,25.18,88.21,23.05,49.44,4.13,0.34,Low,4.6,SUGARCANE,Synthetic
Wheat,Clay Loam,Grain Filling,Flood,Low,68.34,20.05,58.62,34.94,47.98,5.21,4.29,Medium,5.95,WHEAT,Synthetic
Sugarcane,Clay,Vegetative,Rainfed,High,25.95,40.02,52.48,2.4,80.51,6.42,0.23,High,9.55,SUGARCANE,Synthetic
Wheat,Sandy,Flowering,Drip,Low,19.63,24.14,70.77,6.45,32.78,6.62,10.23,High,11.15,WHEAT,Synthetic
Sugarcane,Sandy,Grain Filling,Flood,Low,67.66,22.81,74.06,42.18,157.19,4.76,6.96,Medium,6.45,SUGARCANE,Synthetic
Sugarcane,Sandy,Grain Filling,Rainfed,Medium,45.02,40.06,71.89,3.4,64.9,7.96,0.49,High,12.0,SUGARCANE,Synthetic
Banana,Sandy Loam,Vegetative,Flood,High,50.2,22.15,52.61,24.4,85.62,6.95,16.36,High,7.84,BANANA,Synthetic
Groundnut,Loamy,Grain Filling,Drip,Medium,44.65,23.12,58.35,11.42,22.67,6.94,0.82,High,9.55,GROUNDNUT,Synthetic
Potato,Clay Loam,Vegetative,Drip,Medium,16.3,40.75,65.8,46.1,15.97,3.7,15.51,Medium,5.33,POTATO,Synthetic
Groundnut,Sandy Loam,Flowering,Flood,Medium,53.42,18.12,80.75,18.53,70.36,3.91,0.24,Low,3.46,GROUNDNUT,Synthetic
Cotton,Loamy,Grain Filling,Flood,High,52.8,37.55,42.51,24.8,65.09,2.15,0.55,Low,4.32,COTTON,Synthetic
Cotton,Sandy Loam,Vegetative,Drip,Medium,59.8,20.69,68.1,0.55,63.79,3.83,7.63,Low,5.48,COTTON,Synthetic
Cotton,Clay Loam,Maturity,Rainfed,High,14.59,25.75,42.04,13.4,48.23,4.1,1.1,Medium,4.85,COTTON,Synthetic
Potato,Sandy Loam,Flowering,Rainfed,High,24.03,23.48,43.32,15.06,37.14,6.88,0.73,High,9.02,POTATO,Synthetic
Groundnut,Loamy,Flowering,Rainfed,Low,45.38,27.48,40.98,1.64,62.74,5.62,1.51,High,10.4,GROUNDNUT,Synthetic
Potato,Sandy Loam,Maturity,Sprinkler,High,41.98,38.7,74.2,4.75,31.07,7.92,4.29,Medium,6.4,POTATO,Synthetic
Cotton,Loamy,Seedling,Flood,Medium,55.65,40.96,34.34,5.83,22.0,6.96,6.07,Medium,8.12,COTTON,Synthetic
Rice,Loamy,Grain Filling,Drip,High,30.21,20.46,56.78,10.29,72.1,3.98,4.84,Low,5.32,RICE,Synthetic
Wheat,Clay Loam,Flowering,Sprinkler,High,56.55,24.7,77.79,6.23,93.59,3.91,0.25,Low,4.74,WHEAT,Synthetic
Groundnut,Sandy,Grain Filling,Drip,Medium,64.96,20.56,61.19,7.55,69.01,7.42,1.36,High,10.24,GROUNDNUT,Synthetic
Banana,Loamy,Seedling,Flood,Low,68.39,34.03,86.42,1.83,114.34,7.97,1.08,High,10.13,BANANA,Synthetic
Wheat,Sandy Loam,Seedling,Drip,Medium,25.39,38.29,39.22,11.86,75.28,5.12,3.1,Medium,6.0,WHEAT,Synthetic
Groundnut,Loamy,Vegetative,Rainfed,High,56.26,18.25,50.93,3.45,71.05,2.25,2.01,Low,1.52,GROUNDNUT,Synthetic
Potato,Clay Loam,Maturity,Rainfed,Low,52.76,29.88,51.42,3.59,50.58,6.7,16.05,Medium,7.14,POTATO,Synthetic
Maize,Loamy,Grain Filling,Rainfed,Medium,68.25,19.53,59.43,0.68,166.69,4.68,11.93,Medium,7.29,MAIZE,Synthetic
Potato,Loamy,Flowering,Drip,Low,50.38,40.47,32.65,9.0,17.9,4.16,5.23,High,8.55,POTATO,Synthetic
Cotton,Sandy Loam,Maturity,Flood,Medium,43.33,22.92,78.83,3.73,75.84,4.26,0.61,Low,4.33,COTTON,Synthetic
Soybean,Clay Loam,Maturity,Drip,Low,60.72,26.87,47.54,10.95,12.36,7.43,0.34,High,8.68,SOYBEAN,Synthetic
Soybean,Sandy,Seedling,Flood,High,24.33,27.49,70.49,0.71,117.58,6.9,0.63,Low,5.45,SOYBEAN,Synthetic
Maize,Clay Loam,Vegetative,Drip,Low,57.87,26.1,54.8,3.08,32.07,3.26,0.24,Low,3.98,MAIZE,Synthetic
Groundnut,Loamy,Flowering,Rainfed,Medium,54.01,27.39,66.13,10.95,7.39,3.42,2.9,Low,4.12,GROUNDNUT,Synthetic
Banana,Clay,Maturity,Rainfed,Medium,63.05,30.0,78.06,8.29,32.11,3.87,0.25,Low,4.14,BANANA,Synthetic
Rice,Sandy Loam,Grain Filling,Flood,Low,21.72,31.07,42.98,2.73,21.39,3.23,0.2,High,9.37,RICE,Synthetic
